name;phone_number;email;address;birthday
Альберт Архимович;+380 06 602-04-16;stepanteslia@example.com;парк Тракторна, буд. 347 кв. 3, Сарни, 82384;2011-09-21
Лукʼян Дацюк;010 268-01-12;ykomar@example.net;шосе Іспанський, буд. 58 кв. 3, Донецьк, 91218;1994-09-25
Амвросій Атрощенко;600 71 59;zakharbabiichuk@example.com;вулиця Дальницьке, буд. 788 кв. 7, Скалат, 55106;1973-08-08
Леонтій Вахній;645 96 19;iatseniukmyron@example.com;сквер Сєрова, буд. 162 кв. 7, Миколаїв, 75555;1982-10-17
Вікторія Іщенко;886 28 44;bmoskal@example.net;шосе Юннатів, буд. 162 кв. 32, Кам'янка-Дніпровська, 50791;1984-04-17
Мілена Архимович;006 463-72-20;pandriishyn@example.com;сквер Артезіанська, буд. 495 кв. 1, Борзна, 54805;2015-11-06
пан Єфрем Перепелиця;054 023-61-77;kpylypenko@example.net;шосе Партизанська, буд. 27 кв. 938, Ходорів, 49866;1972-05-12
пані Данна Кальченко;+380 00 088-29-41;nazar82@example.org;парк Палія Семена, буд. 120 кв. 120, Лутугине, 82923;1970-11-25
Еріка Корсун;432 80 75;heorhiizaika@example.com;провулок Георгія Гамова, буд. 27, Чуднів, 38664;2001-05-30
Кирило Овчаренко;029 300-88-43;marusiadzyndra@example.net;площа Виноградна, буд. 11 кв. 6, Вільнянськ, 27010;2006-05-24
Емілія Гунько;263-57-03;riabchenkodavyd@example.net;шосе Дальницька, буд. 80 кв. 784, Ірміно, 37495;1979-08-07
Анжела Колісниченко;516-48-67;rozaliia14@example.org;набережна Університетський, буд. 62 кв. 972, Лебедин, 75922;1997-12-23
